# id	index_base	species	assembly	source	url	expected_ext	notes
# Metadata-only backfill catalog: matches xfer/bt/shortname_map.csv rows that do not yet declare dict;manifest.
# Run: ./build_indexes.bash --metadata-only --backfill --from-s3-prefix s3://genome-idx/bt --targets legacy_targets.tsv --upload-prefix s3://genome-idx/bt <ids...>
grch38_noalt	GRCh38_noalt_as	Human	GRCh38 no-alt analysis set	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	bt2	NCBI analysis set (UCSC-style contig names)
grch38_noalt_decoy	GRCh38_noalt_decoy_as	Human	GRCh38 no-alt +decoy set	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set.fna.gz	bt2	NCBI GRCh38.p14 alignment pipelines no-alt plus hs38d1 decoy
grch38_1kgmaj	grch38_1kgmaj	Human	GRCh38 + major SNVs	NCBI+1KG	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	bt2	Dict baseline is NCBI no-alt analysis set; index applies 1KG major alleles (see bowtie-majref) so sequence MD5s differ at variant sites
grch37	GRCh37	Human	GRCh37	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13/GCF_000001405.25_GRCh37.p13_genomic.fna.gz	bt2	RefSeq GRCh37.p13 primary assembly
ash1	Ash1v1.7	Human	Ash1v1.7	JHU	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/465/GCA_011064465.1_Ash1.7/GCA_011064465.1_Ash1.7_genomic.fna.gz	bt2	NCBI GenBank Ash1.7 (GCA_011064465.1); verify against original Ash1v1.7 FASTA if needed
ash1_2	Ash1_v2.0	Human	Ash1v2.0	JHU	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/064/465/GCA_011064465.2_Ash1_v2.2/GCA_011064465.2_Ash1_v2.2_genomic.fna.gz	bt2	NCBI GenBank Ash1_v2.2 (GCA_011064465.2); index name Ash1_v2.0 — verify if patch differs
t2tplusy	chm13.draft_v1.0_plusY	Human	CHM13plusY	T2T	https://human-pangenomics.s3.us-west-2.amazonaws.com/T2T/CHM13/assemblies/chm13.draft_v1.0.fasta.gz	bt2	CHM13 draft v1.0; index name implies plus-Y assembly—verify dict vs exact reference used for the posted index
hg19	hg19	Human	hg19	UCSC	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz	bt2	UCSC hg19 full soft-masked FASTA
hg18	hg18	Human	hg18	UCSC	https://hgdownload.soe.ucsc.edu/goldenPath/hg18/bigZips/hg18.fa.gz	bt2	UCSC hg18 full soft-masked FASTA
grcm38	GRCm38	Mouse	GRCm38	NCBI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.26_GRCm38.p6/GCF_000001635.26_GRCm38.p6_genomic.fna.gz	bt2	RefSeq GRCm38.p6
