Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Double Extra Large,a1.2xlarge,"95,158.796",General purpose,22.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.204 hourly,$0.1285 hourly,$0.204 hourly,,
A1 Quadruple Extra Large,a1.4xlarge,"190,136.661",General purpose,42.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.408 hourly,,
A1 Large,a1.large,"23,457.659",General purpose,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.051 hourly,$0.0321 hourly,$0.051 hourly,,
A1 Medium,a1.medium,"11,877.895",General purpose,,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly,$0.0161 hourly,$0.0255 hourly,,
A1 Metal,a1.metal,"192,539.11",General purpose,44.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.408 hourly,,
A1 Extra Large,a1.xlarge,"47,619.048",General purpose,12.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.102 hourly,$0.0643 hourly,$0.102 hourly,,
C1 High-CPU Medium,c1.medium,"19,882.512",Compute optimized,,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.13 hourly,$0.091 hourly,$0.041 hourly,$0.21 hourly,$0.179 hourly
C1 High-CPU Extra Large,c1.xlarge,"96,298.525",Compute optimized,32.0 fps,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.52 hourly,$0.364 hourly,$0.1875 hourly,$0.84 hourly,$0.719 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,"118,729.593",Compute optimized,42.0 fps,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.42 hourly,$0.292 hourly,$0.1486 hourly,$0.752 hourly,$0.657 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,"237,988.993",Compute optimized,80.0 fps,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.84 hourly,$0.584 hourly,$0.3591 hourly,$1.504 hourly,$1.317 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,"483,944.145",Compute optimized,140.0 fps,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$1.68 hourly,$1.168 hourly,$0.4908 hourly,$3.008 hourly,$2.631 hourly
C3 High-CPU Large,c3.large,"29,520.295",Compute optimized,,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.105 hourly,$0.073 hourly,$0.0301 hourly,$0.188 hourly,$0.165 hourly
C3 High-CPU Extra Large,c3.xlarge,"58,593.75",Compute optimized,21.0 fps,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.21 hourly,$0.146 hourly,$0.0727 hourly,$0.376 hourly,$0.329 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,"137,824.102",Compute optimized,42.0 fps,15 GiB,8 vCPUs,EBS only,High,$0.398 hourly,$0.252 hourly,$0.1539 hourly,$0.766 hourly,$0.62 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,"268,006.7",Compute optimized,85.0 fps,30 GiB,16 vCPUs,EBS only,High,$0.796 hourly,$0.504 hourly,$0.284 hourly,$1.532 hourly,$1.24 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,"597,510.373",Compute optimized,155.0 fps,60 GiB,36 vCPUs,EBS only,10 Gigabit,$1.591 hourly,$1.008 hourly,$0.5381 hourly,$3.091 hourly,$2.664 hourly
C4 High-CPU Large,c4.large,"31,678.986",Compute optimized,,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.10 hourly,$0.063 hourly,$0.0367 hourly,$0.192 hourly,$0.155 hourly
C4 High-CPU Extra Large,c4.xlarge,"67,358.967",Compute optimized,24.0 fps,7.5 GiB,4 vCPUs,EBS only,High,$0.199 hourly,$0.126 hourly,$0.0614 hourly,$0.383 hourly,$0.31 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,"789,311.408",Compute optimized,178.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.04 hourly,$1.285 hourly,$0.7598 hourly,$4.248 hourly,$3.493 hourly
C5 High-CPU 18xlarge,c5.18xlarge,"1,142,358.494",Compute optimized,183.0 fps,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.06 hourly,$1.928 hourly,$0.9304 hourly,$6.372 hourly,$5.24 hourly
C5 High-CPU 24xlarge,c5.24xlarge,"1,626,773.989",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$4.08 hourly,$2.57 hourly,$1.1417 hourly,$8.496 hourly,$6.986 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,"132,664.483",Compute optimized,45.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.34 hourly,$0.214 hourly,$0.131 hourly,$0.708 hourly,$0.582 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,"262,069.53",Compute optimized,87.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.68 hourly,$0.428 hourly,$0.1919 hourly,$1.416 hourly,$1.164 hourly
C5 High-CPU 9xlarge,c5.9xlarge,"572,906.306",Compute optimized,165.0 fps,72 GiB,36 vCPUs,EBS only,12 Gigabit,$1.53 hourly,$0.964 hourly,$0.6318 hourly,$3.186 hourly,$2.62 hourly
C5 High-CPU Large,c5.large,"33,103.448",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.085 hourly,$0.054 hourly,$0.0351 hourly,$0.177 hourly,$0.146 hourly
C5 High-CPU Metal,c5.metal,"1,609,657.948",Compute optimized,192.0 fps,192 GiB,96 vCPUs,EBS only,25 Gigabit,$4.08 hourly,$2.57 hourly,$1.1768 hourly,$8.496 hourly,$6.986 hourly
C5 High-CPU Extra Large,c5.xlarge,"72,684.323",Compute optimized,27.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.17 hourly,$0.107 hourly,$0.0712 hourly,$0.354 hourly,$0.291 hourly
C5A 12xlarge Extra Large,c5a.12xlarge,"891,199.406",Compute optimized,176.0 fps,96 GiB,48 vCPUs,EBS only,12 Gigabit,$1.848 hourly,$1.164 hourly,$0.7004 hourly,$4.056 hourly,$3.372 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,"1,197,828.935",Compute optimized,184.0 fps,128 GiB,64 vCPUs,EBS only,20 Gigabit,$2.464 hourly,$1.552 hourly,$0.99 hourly,$5.408 hourly,$4.496 hourly
C5A 24xlarge,c5a.24xlarge,"1,782,067.941",Compute optimized,209.0 fps,192 GiB,96 vCPUs,EBS only,20 Gigabit,$3.696 hourly,$2.328 hourly,$1.2193 hourly,$8.112 hourly,$6.744 hourly
C5A Double Extra Large,c5a.2xlarge,"145,348.837",Compute optimized,54.0 fps,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.308 hourly,$0.194 hourly,$0.1525 hourly,$0.676 hourly,$0.562 hourly
C5A Quadruple Extra Large,c5a.4xlarge,"290,552.504",Compute optimized,101.0 fps,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.616 hourly,$0.388 hourly,$0.2811 hourly,$1.352 hourly,$1.124 hourly
C5A Eight Extra Large,c5a.8xlarge,"587,155.963",Compute optimized,161.0 fps,64 GiB,32 vCPUs,EBS only,10 Gigabit,$1.232 hourly,$0.776 hourly,$0.4841 hourly,$2.704 hourly,$2.248 hourly
C5A Large,c5a.large,"37,030.18",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.077 hourly,$0.049 hourly,$0.0305 hourly,$0.169 hourly,$0.141 hourly
C5A Extra Large,c5a.xlarge,"68,555.759",Compute optimized,28.0 fps,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.154 hourly,$0.097 hourly,$0.0683 hourly,$0.338 hourly,$0.281 hourly
C5AD 12xlarge Extra Large,c5ad.12xlarge,,Compute optimized,,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.064 hourly,$1.30 hourly,$0.6173 hourly,$4.272 hourly,$3.508 hourly
C5AD 16xlarge Extra Large,c5ad.16xlarge,,Compute optimized,,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$2.752 hourly,$1.734 hourly,$0.8379 hourly,$5.696 hourly,$4.678 hourly
C5AD 24xlarge,c5ad.24xlarge,,Compute optimized,,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$4.128 hourly,$2.601 hourly,$1.1121 hourly,$8.544 hourly,$7.017 hourly
C5AD Double Extra Large,c5ad.2xlarge,,Compute optimized,,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.1607 hourly,$0.712 hourly,$0.585 hourly
C5AD Quadruple Extra Large,c5ad.4xlarge,,Compute optimized,,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.299 hourly,$1.424 hourly,$1.169 hourly
C5AD Eight Extra Large,c5ad.8xlarge,,Compute optimized,,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$1.376 hourly,$0.867 hourly,$0.504 hourly,$2.848 hourly,$2.339 hourly
C5AD Large,c5ad.large,,Compute optimized,,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.0361 hourly,$0.178 hourly,$0.146 hourly
C5AD Extra Large,c5ad.xlarge,,Compute optimized,,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.0664 hourly,$0.356 hourly,$0.292 hourly
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,"786,691.797",Compute optimized,178.0 fps,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.304 hourly,$1.452 hourly,$0.7164 hourly,$4.512 hourly,$3.66 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,"1,164,577.436",Compute optimized,188.0 fps,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$3.456 hourly,$2.177 hourly,$0.9899 hourly,$6.768 hourly,$5.489 hourly
C5 High-CPU 24xlarge,c5d.24xlarge,"1,546,080.444",Compute optimized,196.0 fps,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$4.608 hourly,$2.903 hourly,$1.2302 hourly,$9.024 hourly,$7.319 hourly
C5 High-CPU Double Extra Large,c5d.2xlarge,"134,986.923",Compute optimized,45.0 fps,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.384 hourly,$0.242 hourly,$0.1688 hourly,$0.752 hourly,$0.61 hourly
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,"250,459.829",Compute optimized,88.0 fps,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.768 hourly,$0.484 hourly,$0.3668 hourly,$1.504 hourly,$1.22 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,"554,464.595",Compute optimized,167.0 fps,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$1.728 hourly,$1.089 hourly,$0.669 hourly,$3.384 hourly,$2.745 hourly
C5 High-CPU Large,c5d.large,"33,285.255",Compute optimized,,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.0384 hourly,$0.188 hourly,$0.152 hourly
C5 High-CPU Metal,c5d.metal,"1,749,430.524",Compute optimized,198.0 fps,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$4.608 hourly,$2.903 hourly,$1.2623 hourly,$9.024 hourly,$7.319 hourly
C5 High-CPU Extra Large,c5d.xlarge,"63,798.397",Compute optimized,26.0 fps,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.0723 hourly,$0.376 hourly,$0.305 hourly
C5N 18xlarge,c5n.18xlarge,"1,160,775.462",Compute optimized,187.0 fps,192 GiB,72 vCPUs,EBS only,100 Gigabit,$3.888 hourly,$2.449 hourly,$0.9635 hourly,$7.20 hourly,$5.761 hourly
C5N Double Extra Large,c5n.2xlarge,"122,680.57",Compute optimized,47.0 fps,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.432 hourly,$0.272 hourly,$0.1661 hourly,$0.80 hourly,$0.64 hourly
C5N Quadruple Extra Large,c5n.4xlarge,"253,425.2",Compute optimized,92.0 fps,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.864 hourly,$0.544 hourly,$0.349 hourly,$1.60 hourly,$1.28 hourly
C5N 9xlarge,c5n.9xlarge,"587,395.472",Compute optimized,166.0 fps,96 GiB,36 vCPUs,EBS only,50 Gigabit,$1.944 hourly,$1.225 hourly,$0.6224 hourly,$3.60 hourly,$2.881 hourly
C5N Large,c5n.large,"31,365.989",Compute optimized,12.0 fps,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.108 hourly,$0.068 hourly,$0.0328 hourly,$0.20 hourly,$0.16 hourly
C5N Metal,c5n.metal,"1,201,201.201",Compute optimized,184.0 fps,192 GiB,72 vCPUs,EBS only,100 Gigabit,$3.888 hourly,$2.449 hourly,$0.9098 hourly,$7.20 hourly,$5.761 hourly
C5N Extra Large,c5n.xlarge,"65,832.785",Compute optimized,24.0 fps,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.216 hourly,$0.136 hourly,$0.0834 hourly,$0.40 hourly,$0.32 hourly
C6A 12xlarge Extra Large,c6a.12xlarge,"1,014,155.926",Compute optimized,218.0 fps,96 GiB,48 vCPUs,EBS only,18.75 Gigabit,$1.836 hourly,$1.2145 hourly,$0.8211 hourly,$4.044 hourly,$1.2145 hourly
C6A 16xlarge Extra Large,c6a.16xlarge,"1,332,500.521",Compute optimized,226.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.448 hourly,$1.6194 hourly,$1.0649 hourly,$5.392 hourly,$4.5634 hourly
C6A 24xlarge,c6a.24xlarge,"1,843,494.959",Compute optimized,263.0 fps,192 GiB,96 vCPUs,EBS only,37.5 Gigabit,$3.672 hourly,$2.429 hourly,$1.5987 hourly,$8.088 hourly,$2.429 hourly
C6A Double Extra Large,c6a.2xlarge,"181,776.869",Compute optimized,66.0 fps,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.306 hourly,$0.2024 hourly,$0.1321 hourly,$0.674 hourly,$0.2024 hourly
C6A 32xlarge,c6a.32xlarge,"2,731,929.425",Compute optimized,229.0 fps,256 GiB,128 vCPUs,EBS only,50 Gigabit,$4.896 hourly,$3.2387 hourly,$1.7675 hourly,$10.784 hourly,$3.2387 hourly
C6A 48xlarge,c6a.48xlarge,"3,584,764.75",Compute optimized,220.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.344 hourly,$4.8581 hourly,$2.3218 hourly,$16.176 hourly,$4.8581 hourly
C6A Quadruple Extra Large,c6a.4xlarge,"332,450.262",Compute optimized,120.0 fps,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.612 hourly,$0.4048 hourly,$0.3207 hourly,$1.348 hourly,$0.4048 hourly
C6A Eight Extra Large,c6a.8xlarge,"624,969.484",Compute optimized,178.0 fps,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.224 hourly,$0.8097 hourly,$0.5875 hourly,$2.696 hourly,$2.2817 hourly
C6A Large,c6a.large,"43,208.987",Compute optimized,,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.0765 hourly,$0.0506 hourly,$0.033 hourly,$0.1685 hourly,$0.1426 hourly
C6A Metal,c6a.metal,"3,398,330.334",Compute optimized,257.0 fps,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.344 hourly,$4.8581 hourly,$2.4125 hourly,$16.176 hourly,$13.6901 hourly
C6A Extra Large,c6a.xlarge,"86,157.381",Compute optimized,34.0 fps,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.153 hourly,$0.1012 hourly,$0.0682 hourly,$0.337 hourly,$0.1012 hourly
C6G 12xlarge Extra Large,c6g.12xlarge,"920,774.986",Compute optimized,170.0 fps,96 GiB,48 vCPUs,EBS only,20 Gigabit,$1.632 hourly,$1.0282 hourly,$0.4286 hourly,,
C6G 16xlarge Extra Large,c6g.16xlarge,"1,271,018.138",Compute optimized,175.0 fps,128 GiB,64 vCPUs,EBS only,25 Gigabit,$2.176 hourly,$1.3709 hourly,$0.5396 hourly,,
